beijing_date,events
2019-07-13,4
2019-07-21,1
2019-08-01,2
2019-08-10,1
2019-08-12,13
2019-08-13,14
2019-08-14,119
2019-08-15,86
2019-08-16,47
2019-08-17,50
2019-08-18,7
2019-08-19,13
2019-08-20,2
2019-08-21,188
2019-08-22,1
2019-08-23,178
2019-08-24,5
2019-08-25,48
2019-08-26,165
2019-08-27,29
2019-08-28,7
2019-08-29,1
2019-08-30,4
2019-09-03,67
2019-09-05,10
2019-09-07,11
2019-09-08,12
2019-09-09,39
2019-09-10,401
2019-09-11,43
2019-09-12,110
2019-09-13,46
2019-09-14,15
2019-09-15,187
2019-09-16,40
2019-09-17,12
2019-09-18,28
2019-09-19,10
2019-09-20,2
2019-09-21,50
2019-09-22,234
2019-09-23,89
2019-09-24,47
2019-10-05,8
2019-10-06,15
2019-10-07,21
2019-10-09,42
2019-11-12,1
2019-11-19,68
2019-11-21,40
2020-01-15,1
2020-01-21,36
2020-01-25,25
2020-02-14,4
2020-02-15,13
2020-02-23,3
2020-02-24,1
2020-02-25,31
2020-02-26,4
2020-03-02,1
2020-03-04,9
2020-03-09,3
2020-03-10,101
2020-03-20,66
2020-03-25,8
2020-04-04,20
2020-04-05,3
2020-04-06,111
2020-04-14,4
2020-04-16,15
2020-06-16,121
2020-06-17,37
2020-06-22,14
2020-06-23,21
2020-08-05,2
2020-08-07,1
2020-08-11,3
2020-08-13,12
2020-08-14,30
2020-08-15,8
2020-08-16,27
2020-08-17,192
2020-08-18,38
2020-08-19,9
2020-08-21,22
2020-08-24,12
2020-08-26,7
2020-08-28,76
2020-08-29,11
2020-08-30,2
2020-08-31,8
2020-09-01,76
2020-09-02,27
2020-09-03,13
2020-09-04,19
2020-09-05,13
2020-09-06,14
2020-09-07,174
2020-09-08,79
2020-09-09,8
2020-09-10,36
2020-09-11,32
2020-09-12,19
2020-09-13,30
2020-09-14,2
2020-09-15,153
2020-09-16,23
2020-09-17,3
2020-09-18,8
2020-09-20,64
2020-09-21,61
2020-09-22,31
2020-12-06,65
2020-12-24,21
2021-06-12,3
2021-07-06,9
2021-08-10,2
2021-08-13,1
2021-08-14,7
2021-08-15,49
2021-08-16,8
2021-08-17,35
2021-08-18,6
2021-08-21,6
2021-08-22,6
2021-08-23,12
2021-08-24,77
2021-08-26,41
2021-08-27,65
2021-08-28,3
2021-08-29,146
2021-09-01,1
2021-09-02,1
2021-09-03,22
2021-09-06,55
2021-09-07,6
2021-09-10,1
2021-09-11,101
2021-09-12,7
2021-09-13,32
2021-09-14,307
2021-09-15,213
2021-09-16,74
2021-09-19,109
2021-09-20,23
2021-09-21,45
2021-09-22,8
2021-10-31,2
2022-01-29,21
2022-05-18,8
2022-08-11,93
2022-08-14,74
2022-08-16,25
2022-08-17,3
2022-08-19,2
2022-08-20,36
2022-08-21,5
2022-08-22,11
2022-08-23,1
2022-08-24,7
2022-08-25,7
2022-08-27,116
2022-08-28,6
2022-08-29,27
2022-09-01,87
2022-09-02,215
2022-09-03,35
2022-09-06,5
2022-09-13,56
2022-09-14,51
2022-09-16,5
2022-09-18,198
2022-09-19,8
2022-09-20,6
2022-09-21,13
2023-02-16,1
2023-06-04,29
2023-09-02,9
2023-09-08,5
2023-09-11,1
2023-09-12,40
2023-09-13,1
2023-09-16,5
2023-12-06,54
2024-02-27,3
2024-07-24,9
2024-07-25,10
2024-07-29,7
2024-07-30,1
2024-07-31,19
2024-08-02,5
2024-08-09,22
2024-08-10,98
2024-08-11,126
2024-08-12,120
2024-08-13,98
2024-08-14,48
2024-08-15,6
2024-08-16,197
2024-08-17,12
2024-08-18,130
2024-08-19,52
2024-08-20,108
2024-08-21,83
2024-08-22,58
2024-08-23,9
2024-08-24,54
2024-08-25,222
2024-08-26,153
2024-08-27,110
2024-08-28,18
2024-08-29,275
2024-08-30,96
2024-08-31,42
2024-09-01,250
2024-09-02,164
2024-09-03,114
2024-09-04,64
2024-09-05,63
2024-09-06,33
2024-09-07,142
2024-09-08,34
2024-09-09,228
2024-09-10,315
2024-09-11,150
2024-09-12,126
2024-09-13,207
2024-09-14,48
2024-09-15,82
2024-09-16,7
2024-09-17,184
2024-09-18,45
2024-09-19,41
2024-09-20,1
2024-09-22,56
2024-09-23,63
2025-06-28,3
2025-08-11,35
2025-08-12,2
2025-08-15,15
2025-08-20,201
2025-08-23,23
2025-08-25,1
2025-09-02,12
2025-09-14,4
2025-09-17,67
2025-09-18,91
2025-09-20,62
2026-04-14,154
2026-04-15,242
2026-11-18,180
2027-01-03,1
2027-01-06,95
2027-01-26,3
2027-03-16,11
2029-11-25,10
2029-11-28,57
2029-11-29,1
2029-11-30,7
2029-12-01,70
2031-02-05,17
2032-10-09,4
2032-11-26,295
2033-06-24,1
2033-07-09,1
2034-04-17,13
2034-05-09,1
2034-09-19,9
2035-01-09,2
2035-01-10,27
2036-07-11,17
